name,gender,slug,quotes_vec,tweet,tweet_link,people_mentioned,date
Hillary Clinton,woman,hillary-clinton,Crooked,"There is great unity in my campaign, perhaps greater than ever before. I want to thank everyone for your tremendous support. Beat Crooked H!",https://twitter.com/realDonaldTrump/status/760765818917515264,1,2016-08-03T09:14:40+0000
Hillary Clinton,woman,hillary-clinton,incompetent,"Our incompetent Secretary of State, Hillary Clinton, was the one who started talks to give 400 million dollars, in cash, to Iran. Scandal!",https://twitter.com/realDonaldTrump/status/760783130978648064,1,2016-08-03T10:23:27+0000
Hillary Clinton,woman,hillary-clinton,bad judgment,"Hillary Clinton has bad judgment and is unfit to serve as President.
 https://t.co/3EzG620fpT",https://twitter.com/realDonaldTrump/status/761549461893984256,1,2016-08-05T13:08:35+0000
Hillary Clinton,woman,hillary-clinton,unfit to serve as President,"Hillary Clinton has bad judgment and is unfit to serve as President.
 https://t.co/3EzG620fpT",https://twitter.com/realDonaldTrump/status/761549461893984256,1,2016-08-05T13:08:35+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked Hillary said loudly, and for the world to see, that she ""SHORT CIRCUITED"" when answering a question on her e-mails. Very dangerous!",https://twitter.com/realDonaldTrump/status/761931010548305920,1,2016-08-06T14:24:43+0000
Hillary Clinton,woman,hillary-clinton,Very dangerous!,"Crooked Hillary said loudly, and for the world to see, that she ""SHORT CIRCUITED"" when answering a question on her e-mails. Very dangerous!",https://twitter.com/realDonaldTrump/status/761931010548305920,1,2016-08-06T14:24:43+0000
Hillary Clinton,woman,hillary-clinton,not fit to be our president!,"Anybody whose mind ""SHORT CIRCUITS"" is not fit to be our president! Look up the word ""BRAINWASHED.""",https://twitter.com/realDonaldTrump/status/761936929902452740,1,2016-08-06T14:48:14+0000
Hillary Clinton,woman,hillary-clinton,Look up the word 'BRAINWASHED.',"Anybody whose mind ""SHORT CIRCUITS"" is not fit to be our president! Look up the word ""BRAINWASHED.""",https://twitter.com/realDonaldTrump/status/761936929902452740,1,2016-08-06T14:48:14+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"#CrookedHillary is not fit to be our next president! #TrumpPence16 
 https://t.co/I0zJO2sZKk",https://twitter.com/realDonaldTrump/status/762016426102296576,1,2016-08-06T20:04:08+0000
Hillary Clinton,woman,hillary-clinton,not fit to be our next president!,"#CrookedHillary is not fit to be our next president! #TrumpPence16 
 https://t.co/I0zJO2sZKk",https://twitter.com/realDonaldTrump/status/762016426102296576,1,2016-08-06T20:04:08+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"I am not just running against Crooked Hillary Clinton, I am running against the very dishonest and totally biased media - but I will win!",https://twitter.com/realDonaldTrump/status/762104411707568128,1,2016-08-07T01:53:45+0000
