"insult_slugs","quotes_vec","tweet","tweet_link","people_mentioned","date"
"delegate-system","totally unfair!","How is it possible that the people of the great State of Colorado never got to vote in the Republican Primary? Great anger - totally unfair!","https://twitter.com/realDonaldTrump/status/719321288301486081","1","2016-04-11T00:28:54+0000"
"delegate-system","The people of Colorado had their vote taken away from them by the phony politicians.","The people of Colorado had their vote taken away from them by the phony politicians. Biggest story in politics. This will not be allowed!","https://twitter.com/realDonaldTrump/status/719326834538778625","1","2016-04-11T00:50:56+0000"
"delegate-system","great people being disenfranchised by politicians. Repub party is in trouble!","This is happening all over our country—great people being disenfranchised by
 politicians. Repub party is in trouble! https://t.co/wNXRqVl9Uu","https://twitter.com/realDonaldTrump/status/719548022871482370","1","2016-04-11T15:29:51+0000"
"delegate-system","The rules DID CHANGE in Colorado shortly after I entered the race in June because the pols and their bosses knew I would win with the voters","The rules DID CHANGE in Colorado shortly after I entered the race in June because the pols and their bosses knew I would win with the voters","https://twitter.com/realDonaldTrump/status/720460065958989827","1","2016-04-14T03:53:59+0000"
"delegate-system","Don't let the bosses take your vote!","Big protest march in Colorado on Friday afternoon! Don't let the bosses take your vote!","https://twitter.com/realDonaldTrump/status/720464540375375873","1","2016-04-14T04:11:46+0000"
"delegate-system","rigged!","We are now at 1001 delegates. We will win on the first ballot and are not wasting time and effort on other ballots because system is rigged!","https://twitter.com/realDonaldTrump/status/726115856053211136","1","2016-04-29T18:28:05+0000"
"delegate-system","totally rigged","What a great evening we had. So interesting that Sanders beat Crooked Hillary. The dysfunctional system is totally rigged against him!","https://twitter.com/realDonaldTrump/status/727791165341356032","1","2016-05-04T09:25:10+0000"
"delegate-system","the books are cooked","I would rather run against Crooked Hillary Clinton than Bernie Sanders and that will happen because the books are cooked against Bernie!","https://twitter.com/realDonaldTrump/status/727796025247846400","1","2016-05-04T09:44:28+0000"
"delegate-system","rigged","Bernie Sanders is being treated very badly by the Dems. The system is rigged against him. He should run as an independent! Run Bernie, run.","https://twitter.com/realDonaldTrump/status/732148805118885889","1","2016-05-16T10:00:52+0000"
"delegate-system","rigged!","Do you think Crooked Hillary will finally close the deal? If she can't win Kentucky, she should drop out of race. System rigged!","https://twitter.com/realDonaldTrump/status/732716604027502592","1","2016-05-17T23:37:06+0000"
"delegate-system","rigged","I look so forward to debating Crooked Hillary Clinton! Democrat Primaries are rigged, e-mail investigation is rigged - so time to get it on!","https://twitter.com/realDonaldTrump/status/732751047022628865","1","2016-05-18T01:53:58+0000"
"delegate-system","the system is rigged","Bernie Sanders is being treated very badly by the Democrats - the system is rigged against him. Many of his disenfranchised fans are for me!","https://twitter.com/realDonaldTrump/status/732893573365010432","1","2016-05-18T11:20:19+0000"
"david-gregory","got thrown off of TV by NBC",".@DavidGregory got thrown off of TV by NBC, fired like a dog! Now he is on @CNN being nasty to me. Not nice!","https://twitter.com/realDonaldTrump/status/715013260462960642","1","2016-03-30T03:10:20+0000"
"david-gregory","fired like a dog!",".@DavidGregory got thrown off of TV by NBC, fired like a dog! Now he is on @CNN being nasty to me. Not nice!","https://twitter.com/realDonaldTrump/status/715013260462960642","1","2016-03-30T03:10:20+0000"
"david-gregory","not nice!",".@DavidGregory got thrown off of TV by NBC, fired like a dog! Now he is on @CNN being nasty to me. Not nice!","https://twitter.com/realDonaldTrump/status/715013260462960642","1","2016-03-30T03:10:20+0000"
"fox-news-polls","another phony hit job on me","Don't believe the @FoxNews Polls, they are just another phony hit job on me. I will beat Hillary Clinton easily in the General Election.","https://twitter.com/realDonaldTrump/status/713820823665119232","1","2016-03-26T20:12:01+0000"
"the-view","failing so badly that it will soon be taken off thr air",".@TheView T.V. show, which is failing so badly that it will soon be taken off thr air, is constantly asking me to go on. I TELL THEM ""NO""","https://twitter.com/realDonaldTrump/status/713025973751529472","1","2016-03-24T15:33:34+0000"
"the-view","a total disaster","Explain how the women on The View, which is a total disaster since the great Barbara Walters left, ever got their jobs. @abc is wasting time","https://twitter.com/realDonaldTrump/status/713027407742177280","1","2016-03-24T15:39:16+0000"
"nato","obsolete","N.A.T.O. is obsolete and must be changed to additionally focus on terrorism as well as some of the things it is currently focused on!","https://twitter.com/realDonaldTrump/status/712969068396093440","1","2016-03-24T11:47:26+0000"
"protesters","horrendous","Why is it that the horrendous protesters, who scream, curse punch, shut down roads/doors during my RALLIES, are never blamed by media? SAD!","https://twitter.com/realDonaldTrump/status/711586556688146434","1","2016-03-20T16:13:50+0000"
"protesters","thugs","The protesters in New Mexico were thugs who were flying the Mexican flag. The rally inside was big and beautiful, but outside, criminals!","https://twitter.com/realDonaldTrump/status/735465352436408320","1","2016-05-25T13:39:38+0000"
"protesters","thugs",".@SanDiegoPD- Fantastic job on handling the thugs who tried to disrupt our very peaceful and well attended rally. Greatly appreciated!","https://twitter.com/realDonaldTrump/status/736388616214220801","1","2016-05-28T02:48:22+0000"
"protesters","thugs","Rally last night in San Jose was great. Tremendous love and enthusiasm in the hall. Big crowd. Outside, small group of thugs burned Am flag!","https://twitter.com/realDonaldTrump/status/738712803775631361","1","2016-06-03T12:43:51+0000"
